table,column,desc,type,index
cdpe_customer_master,gendr_cd,성별,char,"[F,M]"
cdpe_customer_master,age,,,
cdpe_customer_master,bday,,,
cdpe_customer_master,wedd_yn,,,
cdpe_customer_master,rst_ctdo_cd,,char,"[11,26,27,28,29,30,31,36,41,42,43,44,45,46,47,48,50,51,52]"
cdpe_customer_master,rst_ctdo_nm,지역,char,"[강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북]"
cdpe_customer_master,rst_ccw_cd,,,
cdpe_customer_master,rst_ccw_nm,,,
cdpe_customer_master,rst_adng_cd,,,
cdpe_customer_master,rst_adng_nm,,,
cdpe_customer_master,rst_apths_eqbr,,,
cdpe_customer_master,rst_gnrh_eqbr,,,
cdpe_customer_master,rst_apths_puan_prc,,,
cdpe_customer_master,rst_gnrh_prc,,,
cdpe_customer_master,rst_house_price,,,
cdpe_customer_master,rst_apths_perm_rent_yn,,,
cdpe_customer_master,mbsp_entr_yn,,,
cdpe_customer_master,lge_mbr_entr_yn,LG전자회원가입여부,,
cdpe_customer_master,thinq_entr_yn,,,
cdpe_customer_master,mbsp_cust_grd_cd,,char,"[AS00,AS01,AS02,AS03,AS04,AS05]"
cdpe_customer_master,mbsp_cust_grd_nm,멤버십등급,char,"[골드,다이아몬드,다이아몬드블랙,미구매,실버,플래티넘]"
cdpe_customer_master,rmnd_mbpt,잔여멤버십포인트,int,
cdpe_customer_master,xtnc_scdl_mbpt_a1m,,,
cdpe_customer_master,xtnc_scdl_mbpt_a3m,,,
cdpe_customer_master,promt_mgmt_shop_cd,,,
cdpe_customer_master,promt_mgmt_shop_nm,,,
cdpe_customer_master,newbest_mktg_rcp_agr_yn,,,"[0,1]"
cdpe_customer_master,lgecom_mktg_rcp_agr_yn,,,
cdpe_customer_master,pi_tv,,,
cdpe_customer_master,pi_kimchi_refrigerators,,,
cdpe_customer_master,pi_refrigerators,,,
cdpe_customer_master,pi_washing_machines,,,
cdpe_customer_master,pi_styler,,,
cdpe_customer_master,pi_dishwashers,,,
cdpe_customer_master,pi_air_conditioners,,,
cdpe_customer_master,pi_dryers,,,
cdpe_customer_master,pi_vacuum_cleaners,,,
l1cdp_buy_dd_l,base_dt,기준일자,,
l1cdp_buy_dd_l,ordr_sys_cd,,,
l1cdp_buy_dd_l,ordr_sys_nm,,,
l1cdp_buy_dd_l,ordr_no,주문번호,,
l1cdp_buy_dd_l,ordr_lin_no,주문라인번호,,
l1cdp_buy_dd_l,prdc_lvl1_cd,,,
l1cdp_buy_dd_l,prdc_lvl1_nm,,,
l1cdp_buy_dd_l,prdc_lvl2_cd,,,
l1cdp_buy_dd_l,prdc_lvl2_nm,,,
l1cdp_buy_dd_l,prdc_lvl3_cd,제품3레벨코드,,
l1cdp_buy_dd_l,prdc_lvl3_nm,제품3레벨명,,
l1cdp_buy_dd_l,prdc_lvl4_cd,,,
l1cdp_buy_dd_l,prdc_lvl4_nm,,,
l1cdp_buy_dd_l,trget_prdc_cd,,,
l1cdp_buy_dd_l,trget_prdc_nm,,,
l1cdp_buy_dd_l,body_buy_qt,,,
l1cdp_buy_dd_l,body_buy_amt,구매금액,,
l1cdp_buy_dd_l,ordr_dt,주문일자,,
l1cdp_buy_dd_l,mrrexpns_yn,,,
l1cdp_buy_dd_l,move_yn,,,
l1cdp_buy_dd_l,brdw_yn,,,
l1cdp_buy_dd_l,buy_rsn_nm,,,
l1cdp_buy_dd_l,shop_cd,매장코드,,
l1cdp_buy_dd_l,shop_nm,매장명,,
l1cdp_buy_dd_l,lgebst_buy_chnl_cd,BEST구매채널코드,,
l1cdp_buy_dd_l,lgebst_buy_chnl_nm,BEST구매채널명,,
l1cdp_buy_dd_l,buy_chnl_cd,구매채널코드,,
l1cdp_buy_dd_l,buy_chnl_nm,구매채널명,,
l1cdp_buy_dd_l,onln_buy_yn,,,
l1cdp_buy_dd_l,obs_buy_yn,,,
l1cdp_buy_dd_l,sale_path1_cd,,,
l1cdp_buy_dd_l,sale_path1_nm,,,
l1cdp_buy_dd_l,sale_path2_cd,,,
l1cdp_buy_dd_l,sale_path2_nm,,,
l1cdp_buy_dd_l,qt_incl_yn,수량포함여부,,
l1cdp_buy_dd_l,signature_mdl_yn,,,
l1cdp_buy_dd_l,pdfm_dv_val,,,
l1cdp_buy_dd_l,objt_dv_val,,,
l1cdp_buy_dd_l,stry_prdc_dv_val,,,
l1cdp_buy_dd_l,grw_lead_prdc_dv_val,,,
l1cdp_buy_dd_l,up_hma_dv_val,,,
l1cdp_buy_dd_l,mnb_dv_val,,,
l1cdp_buy_dd_l,thinq_pdfm_dv_val,,,
l1cdp_buy_dd_l,chnl_div_val,,,
l1cdp_caresol_cntc_m,cntc_lin_no,계약라인번호,,
l1cdp_caresol_cntc_m,src_chnl_cd,원천채널코드,char,[CSC]
l1cdp_caresol_cntc_m,src_chnl_nm,원천채널명,char,[CSMS (계약)고객]
l1cdp_caresol_cntc_m,cntc_strt_dt,계약시작일자,date,date
l1cdp_caresol_cntc_m,cntc_end_dt,계약종료일자,date,date
l1cdp_caresol_cntc_m,cntc_stts_cd,계약상태코드,char,"[C,D,E,M,S,T,W]"
l1cdp_caresol_cntc_m,cntc_stts_nm,계약상태명,char,"[계정정지,만기완료,만기접수,보류,정상,해지완료,해지접수]"
l1cdp_caresol_cntc_m,cntc_stts_chg_dt,계약상태변경일자,date,date
l1cdp_caresol_cntc_m,expy_yn,해지여부,yn,yn
l1cdp_caresol_cntc_m,expy_dt,해지일자,date,date
l1cdp_caresol_cntc_m,cntc_stop_dt,계약정지일자,date,date
l1cdp_caresol_cntc_m,cntc_stop_term_acum_days,계약정지기간누적일수,int,"[-1127,4293]"
l1cdp_caresol_cntc_m,cntc_stop_term_acum_mmct,계약정지기간누적개월수,int,"[-37,141]"
l1cdp_caresol_cntc_m,rntl_sale_chnl_cd,렌탈판매채널코드,char,"[1,10,11,12,13,14,16,17,18,19,2,20,3,4,5,6,7,8,9,99]"
l1cdp_caresol_cntc_m,rntl_sale_chnl_nm,렌탈판매채널명,char,"[B2B,OBS(B2B),OBS(LG전자임직원),OBS(계열사임직원),OBS(대표사이트),기타,온라인가전,온라인케어솔루션전문점,이마트,자사복지몰,전략유통,전문점(J),전자랜드,코스트코,하이마트,하이케어솔루션(B2B),하이케어솔루션(B2C),하이프라자(H),홈쇼핑,홈플러스]"
l1cdp_caresol_cntc_m,lge_shipto_cd,LG전자SHIP-TO코드,,
l1cdp_caresol_cntc_m,lge_shipto_nm,LG전자SHIP-TO명,,
l1cdp_caresol_cntc_m,cntc_kd_cd,계약유형코드,char,"[C,E,L,R]"
l1cdp_caresol_cntc_m,cntc_kd_nm,계약유형명,char,"[가전구독,이벤트,일시불,케어십]"
l1cdp_caresol_cntc_m,cntc_dtl_kd_cd,계약상세유형코드,char,"[C00,C01,C05,C06,C09,C21,E,E00,H01,L00,R00,R03,R05]"
l1cdp_caresol_cntc_m,cntc_dtl_kd_nm,계약상세유형명,char,"[3년 재계약,5년 재계약,만기 재계약,만기전환,무상만기전환,보유제품 케어십,보유제품(완납형),신규,이벤트,일반판매무상,일반판매유상,일시불,홈케어_가전]"
l1cdp_caresol_cntc_m,mdl_cd,모델코드,,
l1cdp_caresol_cntc_m,majr_prdc_cd,주요제품코드,char,"[XPC02,XPC05,XPC08,XPC11,XPC13,XPC16,XPC17,XPC18,XPC20,XPC28,XPC29,XPC32,XPC34,XPC35,XPC40]"
l1cdp_caresol_cntc_m,majr_prdc_nm,주요제품명,,
l1cdp_caresol_cntc_m,rntl_pdfm_cd,렌탈제품군코드,,
l1cdp_caresol_cntc_m,rntl_pdfm_nm,렌탈제품군명,,
l1cdp_caresol_cntc_m,ordr_kd_cd,주문유형코드,char,"[AC,AD,CA,CR,CW,DW,EO,ER,GC,GJ,HA,HB,HR,HV,HW,PC,RA,RC,RE,SC,SN,SS,ST,TV,VC,VR,WF,WT]"
l1cdp_caresol_cntc_m,ordr_kd_nm,주문유형명,char,"[RAC에어컨,TV,건조기,공기청정기,광파오븐,냉장고,노트북,로봇청소기,사이니지,상업용스탠드에어컨,세탁기,슈케어,스타일러,식기세척기,식물재배기,안마의자,워시타워,전기레인지,정수기,정수기냉장고,제습기,주거용환기,청소기,튀김로봇,홈브루,홈케어_냉장고,홈케어_세탁기,홈케어_에어컨]"
l1cdp_caresol_cntc_m,hma_promt_lnkg_yn,가전제품판촉연계여부,yn,yn
l1cdp_caresol_cntc_m,vsit_cycl_mmct,방문주기개월수,int,"[0,37]"
l1cdp_caresol_cntc_m,duty_use_term_mmct,의무사용기간개월수,int,"[0,240]"
l1cdp_caresol_cntc_m,cntc_term_mmct,계약기간개월수,int,"[1,960]"
l1cdp_caresol_cntc_m,paym_cycl_nm,납부주기명,char,"[월분납,일시불]"
l1cdp_caresol_cntc_m,paym_mthd_cd,납부방법코드,char,"[B,C,T]"
l1cdp_caresol_cntc_m,paym_mthd_nm,납부방법명,char,"[무통장입금,은행이체,카드이체]"
l1cdp_caresol_cntc_m,totl_rntlct_amt,총렌탈료금액,int,"[0,50400000]"
l1cdp_caresol_cntc_m,totl_paym_amt,총납부금액,int,"[0,4260000]"
l1cdp_caresol_cntc_m,src_cust_indi_yn,원천고객개인사업자여부,yn,yn
l1cdp_caresol_cntc_m,maj3_issu_yn,3대이슈여부,yn,yn
l1cdp_caresol_cntc_m,bfr_cntc_stts_cd,이전계약상태코드,char,"[C,E,M,S,T,W]"
l1cdp_caresol_cntc_m,bfr_cntc_stts_nm,이전계약상태명,char,"[계정정지,만기완료,만기접수,정상,해지완료,해지접수]"
l1cdp_caresol_cntc_m,lgtm_non_vsit_yn,장기미방문여부,yn,yn
l1cdp_caresol_cntc_m,acdt_bond_yn,사고채권여부,yn,yn
l1cdp_caresol_cntc_m,orig_cntc_lin_no_desc,원계약라인번호설명,,
